"Word","Stem"
"000","000"
"100","100"
"1000","1000"
"101","101"
"12/16/1902","12/16/1902"
"141","141"
"1770","1770"
"1789","1789"
"1850","1850"
"1860","1860"
"1861","1861"
"1867","1867"
"1869","1869"
"1882","1882"
"1888","1888"
"1910","1910"
"1911","1911"
"1935","1935"
"1937","1937"
"1947","1947"
"1948","1948"
"1949","1949"
"1950","1950"
"1955","1955"
"1959","1959"
"1960","1960"
"1961","1961"
"1962","1962"
"1963","1963"
"1964","1964"
"1967","1967"
"1968","1968"
"1969","1969"
"1970","1970"
"1971","1971"
"1972","1972"
"1973","1973"
"1974","1974"
"1975","1975"
"1978","1978"
"1979","1979"
"1980","1980"
"1983","1983"
"1984","1984"
"1986","1986"
"1987","1987"
"1990","1990"
"1991","1991"
"1993","1993"
"1999","1999"
"2000","2000"
"2001","2001"
"2003","2003"
"2005","2005"
"2006","2006"
"2009","2009"
"2010","2010"
"205","205"
"209","209"
"211","211"
"24th","24th"
"25438","25438"
"258","258"
"275","275"
"28th","28th"
"2nd","2nd"
"3000","3000"
"314","314"
"3/4/1977","3/4/1977"
"365","365"
"389","389"
"462","462"
"480","480"
"4th","4th"
"500","500"
"506","506"
"863","863"
"absorption","absorption"
"accelerated","accelerated"
"accidental","accidental"
"according","according"
"account","account"
"accumulations","accumulations"
"accurately","accurately"
"acid","acid"
"acre","acre"
"acute","acute"
"addition","addition"
"adjusted","adjusted"
"adjuvant","adjuvant"
"admitted","admitted"
"adrenal","adrenal"
"adult","adult"
"adults","adults"
"advanced","advanced"
"age","age"
"aged","aged"
"aggregate","aggregate"
"aids","aids"
"aim","aim"
"aircraft","aircraft"
"airline","airline"
"airlines","airlines"
"airplane","airplane"
"allo","allo"
"allogeneic","allogeneic"
"alps","alps"
"alternative","alternative"
"amboseli","amboseli"
"america","america"
"american","american"
"ammonia","ammonia"
"amount","amount"
"analysis","analysis"
"anatomical","anatomical"
"angeles","angeles"
"animal","animal"
"animals","animals"
"annual","annual"
"anorexia","anorexia"
"anscombe","anscombe"
"appearance","appearance"
"approximately","approximately"
"april","april"
"areas","areas"
"arrests","arrests"
"arrived","arrived"
"ascorbic","ascorbic"
"ash","ash"
"assault","assault"
"assay","assay"
"assess","assess"
"associated","associated"
"assumed","assumed"
"asthma","asthma"
"attacks","attacks"
"attitude","attitude"
"australia","australia"
"australian","australian"
"author","author"
"authorship","authorship"
"auto","auto"
"autologous","autologous"
"average","average"
"averaged","averaged"
"averages","averages"
"baboon","baboon"
"baboons","baboons"
"bacteria","bacteria"
"ball","ball"
"bank","bank"
"barometric","barometric"
"barrels","barrels"
"batch","batch"
"batchchemicalprocessyields","batchchemicalprocessyields"
"bay","bay"
"bearings","bearings"
"beaver","beaver"
"belgian","belgian"
"belgium","belgium"
"belts","belts"
"benefit","benefit"
"billion","billion"
"biochemical","biochemical"
"biopsy","biopsy"
"birth","birth"
"black","black"
"blood","blood"
"bod","bod"
"body","body"
"bofors","bofors"
"boiling","boiling"
"bone","bone"
"border","border"
"borealis","borealis"
"boston","boston"
"bounding","bounding"
"box","box"
"brain","brain"
"break","break"
"breaks","breaks"
"breast","breast"
"britain","britain"
"britan","britan"
"bronchitis","bronchitis"
"brownlee","brownlee"
"buffalo","buffalo"
"business","business"
"cabbage","cabbage"
"cabbages","cabbages"
"california","california"
"calls","calls"
"campus","campus"
"campuses","campuses"
"canadensis","canadensis"
"canadian","canadian"
"cancer","cancer"
"capita","capita"
"car","car"
"carbon","carbon"
"cars","cars"
"case","case"
"castor","castor"
"category","category"
"cats","cats"
"cement","cement"
"cements","cements"
"censored","censored"
"censoring","censoring"
"center","center"
"central","central"
"ceramic","ceramic"
"ceramics","ceramics"
"change","change"
"changes","changes"
"channing","channing"
"characteristics","characteristics"
"chart","chart"
"chatterjee","chatterjee"
"chemical","chemical"
"chemicalprocessconcentrations","chemicalprocessconcentrations"
"chemicalprocesstemperatures","chemicalprocesstemperatures"
"chemicalprocessviscosityreadings","chemicalprocessviscosityreadings"
"chemotherapy","chemotherapy"
"cherry","cherry"
"chicken","chicken"
"chickens","chickens"
"child","child"
"children","children"
"chloride","chloride"
"choral","choral"
"chosen","chosen"
"chromatropic","chromatropic"
"circumferences","circumferences"
"city","city"
"claimed","claimed"
"classification","classification"
"clinical","clinical"
"closing","closing"
"clouds","clouds"
"codded","codded"
"collected","collected"
"collection","collection"
"commercial","commercial"
"common","common"
"company","company"
"compare","compare"
"compared","compared"
"comparing","comparing"
"comparison","comparison"
"compiled","compiled"
"composite","composite"
"compulsory","compulsory"
"computer","computer"
"concentrated","concentrated"
"concentration","concentration"
"concentrations","concentrations"
"conducted","conducted"
"conductivity","conductivity"
"conic","conic"
"connecticut","connecticut"
"consecutive","consecutive"
"considered","considered"
"consisting","consisting"
"consists","consists"
"contain","contain"
"containing","containing"
"contains","contains"
"contaminated","contaminated"
"content","content"
"control","control"
"coordinates","coordinates"
"copper","copper"
"corona","corona"
"correlation","correlation"
"cortisol","cortisol"
"cosmetic","cosmetic"
"cotton","cotton"
"counterfeit","counterfeit"
"cpu","cpu"
"cpus","cpus"
"crab","crab"
"crabs","crabs"
"craters","craters"
"crescent","crescent"
"cubic","cubic"
"cultivar","cultivar"
"current","current"
"curtius","curtius"
"cushing","cushing"
"cushings","cushings"
"cycle","cycle"
"cycles","cycles"
"cyrtoideae","cyrtoideae"
"daily","daily"
"dam","dam"
"data","data"
"datasets","datasets"
"date","date"
"day","day"
"days","days"
"ddt","ddt"
"death","death"
"deaths","deaths"
"dec","dec"
"decade","decade"
"december","december"
"decreases","decreases"
"deep","deep"
"defined","defined"
"degrees","degrees"
"delivery","delivery"
"demand","demand"
"demonstrate","demonstrate"
"denmark","denmark"
"department","department"
"departments","departments"
"depend","depend"
"dependent","dependent"
"depressions","depressions"
"depths","depths"
"descend","descend"
"descended","descended"
"descent","descent"
"destroyed","destroyed"
"destructive","destructive"
"deterioration","deterioration"
"determinations","determinations"
"determine","determine"
"developed","developed"
"development","development"
"diagnosed","diagnosed"
"diagnostic","diagnostic"
"dialysis","dialysis"
"diameter","diameter"
"diameters","diameters"
"different","different"
"digitalis","digitalis"
"dioxide","dioxide"
"directly","directly"
"discovered","discovered"
"discoveries","discoveries"
"discriminant","discriminant"
"discussed","discussed"
"disease","disease"
"diseases","diseases"
"disorder","disorder"
"disputes","disputes"
"dissimilar","dissimilar"
"distance","distance"
"distances","distances"
"distributed","distributed"
"distribution","distribution"
"distributions","distributions"
"divided","divided"
"dnase","dnase"
"dollars","dollars"
"domestic","domestic"
"dose","dose"
"doses","doses"
"downtown","downtown"
"dried","dried"
"drivers","drivers"
"drug","drug"
"drugs","drugs"
"due","due"
"duration","duration"
"ear","ear"
"early","early"
"earthquake","earthquake"
"earthquakes","earthquakes"
"economic","economic"
"economical","economical"
"effect","effect"
"effectiveness","effectiveness"
"effects","effects"
"efficiency","efficiency"
"eight","eight"
"electrical","electrical"
"elevation","elevation"
"elisa","elisa"
"emphysema","emphysema"
"employed","employed"
"employee","employee"
"employees","employees"
"enhances","enhances"
"enzymatic","enzymatic"
"equation","equation"
"eruption","eruption"
"eruptions","eruptions"
"escaped","escaped"
"esophageal","esophageal"
"estimate","estimate"
"etc","etc"
"eureka","eureka"
"events","events"
"evidence","evidence"
"evolved","evolved"
"example","example"
"excision","excision"
"excretion","excretion"
"exit","exit"
"experiment","experiment"
"experiments","experiments"
"extract","extract"
"fact","fact"
"factors","factors"
"fahrenheit","fahrenheit"
"failure","failure"
"failures","failures"
"faithful","faithful"
"far","far"
"fatalities","fatalities"
"fatigue","fatigue"
"favorable","favorable"
"features","features"
"february","february"
"feed","feed"
"feet","feet"
"felled","felled"
"female","female"
"fertility","fertility"
"fiber","fiber"
"field","field"
"fields","fields"
"fifty","fifty"
"financial","financial"
"fisher","fisher"
"five","five"
"flat","flat"
"flour","flour"
"flow","flow"
"flowers","flowers"
"flown","flown"
"flows","flows"
"fluctuation","fluctuation"
"fluctuations","fluctuations"
"fly","fly"
"followed","followed"
"formaldehyde","formaldehyde"
"forth","forth"
"france","france"
"fremantle","fremantle"
"french","french"
"function","function"
"fur","fur"
"furnace","furnace"
"gag","gag"
"galaxies","galaxies"
"galaxy","galaxy"
"gas","gas"
"gasfurnacedata","gasfurnacedata"
"gdp","gdp"
"gentle","gentle"
"genuine","genuine"
"geological","geological"
"geologist","geologist"
"geyser","geyser"
"gilgai","gilgai"
"gilgais","gilgais"
"girth","girth"
"given","given"
"giving","giving"
"gland","gland"
"glass","glass"
"grams","grams"
"great","great"
"greatest","greatest"
"grid","grid"
"groove","groove"
"gross","gross"
"group","group"
"grouped","grouped"
"groups","groups"
"growth","growth"
"guinea","guinea"
"half","half"
"hawaii","hawaii"
"head","head"
"heart","heart"
"heat","heat"
"height","height"
"heights","heights"
"help","help"
"hence","hence"
"high","high"
"highest","highest"
"hill","hill"
"history","history"
"hiv","hiv"
"hla","hla"
"hno3","hno3"
"hodgkin","hodgkin"
"hodgkins","hodgkins"
"hog","hog"
"home","home"
"homes","homes"
"hoover","hoover"
"hospitals","hospitals"
"hourly","hourly"
"hours","hours"
"house","house"
"housing","housing"
"hudson","hudson"
"hurricane","hurricane"
"hurricanes","hurricanes"
"hypertensive","hypertensive"
"hypothesis","hypothesis"
"ibm","ibm"
"ibmstockclosingprices","ibmstockclosingprices"
"identified","identified"
"ile","ile"
"immune","immune"
"improved","improved"
"inches","inches"
"included","included"
"including","including"
"income","income"
"increase","increase"
"index","index"
"india","india"
"indian","indian"
"indicated","indicated"
"indicator","indicator"
"indicators","indicators"
"individuals","individuals"
"indomethicin","indomethicin"
"induction","induction"
"infant","infant"
"infected","infected"
"infection","infection"
"infections","infections"
"influential","influential"
"ingredients","ingredients"
"injured","injured"
"input","input"
"instantaneous","instantaneous"
"insufficiency","insufficiency"
"international","international"
"internationalairlinepassengers","internationalairlinepassengers"
"interval","interval"
"intervals","intervals"
"introduced","introduced"
"inventions","inventions"
"inverse","inverse"
"iowa","iowa"
"iris","iris"
"islands","islands"
"jan","jan"
"january","january"
"jenkins","jenkins"
"jersey","jersey"
"johann","johann"
"juice","juice"
"july","july"
"june","june"
"kale","kale"
"kenya","kenya"
"kg/mm^2","kg/mm^2"
"kidney","kidney"
"killed","killed"
"km/sec","km/sec"
"known","known"
"laboratories","laboratories"
"lake","lake"
"land","land"
"large","large"
"laryngeal","laryngeal"
"larynx","larynx"
"left","left"
"length","length"
"lengths","lengths"
"leptograpsus","leptograpsus"
"leroy","leroy"
"letters","letters"
"leukemia","leukemia"
"level","level"
"levels","levels"
"life","life"
"light","light"
"lincoln","lincoln"
"line","line"
"linear","linear"
"lines","lines"
"living","living"
"loblolly","loblolly"
"locations","locations"
"log10","log10"
"logged","logged"
"longley","longley"
"loom","loom"
"los","los"
"losangelesozonereadings","losangelesozonereadings"
"loss","loss"
"low","low"
"lowest","lowest"
"lung","lung"
"lymphoma","lymphoma"
"machining","machining"
"magnitude","magnitude"
"magnitudes","magnitudes"
"mahanadi","mahanadi"
"main","main"
"major","major"
"male","male"
"malignant","malignant"
"march","march"
"mark","mark"
"marrow","marrow"
"marske","marske"
"mastectomy","mastectomy"
"matched","matched"
"maxima","maxima"
"maximum","maximum"
"mead","mead"
"mean","mean"
"measure","measure"
"measured","measured"
"measurement","measurement"
"measurements","measurements"
"measures","measures"
"media","media"
"median","median"
"melanoma","melanoma"
"members","members"
"menten","menten"
"mercury","mercury"
"metabolites","metabolites"
"meter","meter"
"meters","meters"
"methods","methods"
"michaelis","michaelis"
"michaelson","michaelson"
"micron","micron"
"microns","microns"
"midnight","midnight"
"miles","miles"
"millimeters","millimeters"
"million","million"
"millions","millions"
"millionths","millionths"
"minimum","minimum"
"mink","mink"
"minkfursales","minkfursales"
"minute","minute"
"minutes","minutes"
"missing","missing"
"moderate","moderate"
"monthly","monthly"
"months","months"
"morley","morley"
"morphological","morphological"
"motor","motor"
"motorettes","motorettes"
"multimodality","multimodality"
"multiple","multiple"
"murder","murder"
"myelogenous","myelogenous"
"name","name"
"names","names"
"nase","nase"
"national","national"
"natural","natural"
"nebraska","nebraska"
"new","new"
"newark","newark"
"newcomb","newcomb"
"nh3","nh3"
"nickel","nickel"
"nine","nine"
"nitric","nitric"
"non","non"
"none","none"
"normal","normal"
"north","north"
"northern","northern"
"note","note"
"notes","notes"
"nov","nov"
"number","number"
"numbers","numbers"
"numeric","numeric"
"observation","observation"
"observations","observations"
"observe","observe"
"observed","observed"
"observers","observers"
"obtained","obtained"
"occurred","occurred"
"october","october"
"odontoblasts","odontoblasts"
"offsetting","offsetting"
"ohio","ohio"
"oil","oil"
"old","old"
"ones","ones"
"operation","operation"
"operational","operational"
"orange","orange"
"order","order"
"organization","organization"
"originaly","originaly"
"orleans","orleans"
"otherwise","otherwise"
"otitis","otitis"
"outcomes","outcomes"
"outlet","outlet"
"oxidation","oxidation"
"oxide","oxide"
"oxygen","oxygen"
"ozone","ozone"
"pairs","pairs"
"park","park"
"particle","particle"
"parts","parts"
"passage","passage"
"passegers","passegers"
"passenger","passenger"
"passengers","passengers"
"patients","patients"
"patterns","patterns"
"pediatric","pediatric"
"pediatrican","pediatrican"
"percentage","percentage"
"percentages","percentages"
"performance","performance"
"period","period"
"pesticide","pesticide"
"petal","petal"
"pharmacokinetics","pharmacokinetics"
"phone","phone"
"pig","pig"
"pigs","pigs"
"pine","pine"
"pitch","pitch"
"plant","plant"
"planting","planting"
"plants","plants"
"plus","plus"
"point","point"
"points","points"
"polygon","polygon"
"polynomial","polynomial"
"poor","poor"
"poors","poors"
"population","population"
"portland","portland"
"potential","potential"
"ppb","ppb"
"pphm","pphm"
"ppm","ppm"
"presence","presence"
"preserves","preserves"
"pressure","pressure"
"prevent","prevent"
"price","price"
"prices","prices"
"procedure","procedure"
"process","process"
"produce","produce"
"producing","producing"
"product","product"
"production","production"
"properties","properties"
"protein","protein"
"provinces","provinces"
"psychiatric","psychiatric"
"published","published"
"puerto","puerto"
"puromycin","puromycin"
"quantitative","quantitative"
"quarter","quarter"
"quarterly","quarterly"
"question","question"
"questionnaire","questionnaire"
"questions","questions"
"quintus","quintus"
"races","races"
"radiation","radiation"
"radiotherapy","radiotherapy"
"rainfall","rainfall"
"random","random"
"randomly","randomly"
"range","range"
"ranging","ranging"
"ranked","ranked"
"rape","rape"
"rat","rat"
"rate","rate"
"rates","rates"
"reaction","reaction"
"reactions","reactions"
"reading","reading"
"readings","readings"
"received","received"
"receiving","receiving"
"recombinant","recombinant"
"record","record"
"recorded","recorded"
"records","records"
"recurrence","recurrence"
"reflected","reflected"
"regarding","regarding"
"regimens","regimens"
"region","region"
"registry","registry"
"regression","regression"
"regular","regular"
"regularly","regularly"
"reinfused","reinfused"
"relation","relation"
"relative","relative"
"remission","remission"
"remove","remove"
"removed","removed"
"renal","renal"
"replace","replace"
"replapse","replapse"
"replenish","replenish"
"reported","reported"
"represents","represents"
"reserve","reserve"
"residence","residence"
"residents","residents"
"residue","residue"
"responses","responses"
"resulting","resulting"
"retirement","retirement"
"retraction","retraction"
"retrospective","retrospective"
"returns","returns"
"revenue","revenue"
"rico","rico"
"right","right"
"risk","risk"
"river","river"
"rivers","rivers"
"rock","rock"
"rousseeuw","rousseeuw"
"rudolf","rudolf"
"run","run"
"salaries","salaries"
"sale","sale"
"sales","sales"
"sample","sample"
"samples","samples"
"sampling","sampling"
"savings","savings"
"scientific","scientific"
"scottish","scottish"
"season","season"
"seasonally","seasonally"
"seat","seat"
"second","second"
"seconds","seconds"
"secretion","secretion"
"sections","sections"
"seed","seed"
"seeded","seeded"
"seeding","seeding"
"selected","selected"
"sepal","sepal"
"separated","separated"
"september","september"
"series","series"
"serious","serious"
"seriously","seriously"
"serum","serum"
"set","set"
"setting","setting"
"settling","settling"
"seven","seven"
"seventeen","seventeen"
"severe","severe"
"severity","severity"
"sex","sex"
"sexes","sexes"
"share","share"
"short","short"
"showing","showing"
"sibling","sibling"
"signed","signed"
"silver","silver"
"singer","singer"
"singers","singers"
"site","site"
"six","six"
"sleep","sleep"
"sleeping","sleeping"
"snodgrass","snodgrass"
"snow","snow"
"snowfall","snowfall"
"society","society"
"socio","socio"
"socioeconomic","socioeconomic"
"soil","soil"
"sometimes","sometimes"
"soporific","soporific"
"soprano","soprano"
"soprano2","soprano2"
"sources","sources"
"southwales","southwales"
"spacing","spacing"
"speaking","speaking"
"species","species"
"spectrophotometer","spectrophotometer"
"speed","speed"
"stack","stack"
"stackloss","stackloss"
"stamford","stamford"
"standard","standard"
"standardized","standardized"
"state","state"
"states","states"
"steel","steel"
"steroid","steroid"
"stimulated","stimulated"
"stock","stock"
"stop","stop"
"stopping","stopping"
"strength","strength"
"study","study"
"subjects","subjects"
"substrate","substrate"
"suburbs","suburbs"
"suggested","suggested"
"sulphuric","sulphuric"
"sunspot","sunspot"
"superclusters","superclusters"
"supplements","supplements"
"supplied","supplied"
"surface","surface"
"survey","survey"
"surveys","surveys"
"survival","survival"
"swiss","swiss"
"switzerland","switzerland"
"sydney","sydney"
"syenite","syenite"
"syndrome","syndrome"
"system","system"
"systems","systems"
"table","table"
"taken","taken"
"techniques","techniques"
"teeth","teeth"
"telemetry","telemetry"
"telephone","telephone"
"temperature","temperature"
"temperatures","temperatures"
"ten","ten"
"term","term"
"territory","territory"
"terrorism","terrorism"
"terrorist","terrorist"
"test","test"
"testing","testing"
"tests","tests"
"ther","ther"
"therapy","therapy"
"third","third"
"thirteen","thirteen"
"thirty","thirty"
"thousands","thousands"
"timber","timber"
"time","time"
"times","times"
"tissue","tissue"
"tooth","tooth"
"top","top"
"total","total"
"totals","totals"
"traditional","traditional"
"transect","transect"
"transfusion","transfusion"
"transplant","transplant"
"transplantation","transplantation"
"transplants","transplants"
"traverse","traverse"
"treatment","treatment"
"treatments","treatments"
"tree","tree"
"trees","trees"
"trial","trial"
"troop","troop"
"true","true"
"truncated","truncated"
"trunk","trunk"
"turramura","turramura"
"turramurra","turramurra"
"twain","twain"
"types","types"
"uganda","uganda"
"ukunemployment","ukunemployment"
"unemployement","unemployement"
"unemployment","unemployment"
"unemploymet","unemploymet"
"unfilled","unfilled"
"unit","unit"
"united","united"
"units","units"
"universe","universe"
"university","university"
"urban","urban"
"urinary","urinary"
"urine","urine"
"usa","usa"
"use","use"
"used","used"
"ushogprices","ushogprices"
"using","using"
"utero","utero"
"value","value"
"values","values"
"vapor","vapor"
"variable","variable"
"variables","variables"
"variance","variance"
"variegatus","variegatus"
"varieties","varieties"
"variety","variety"
"vector","vector"
"velocities","velocities"
"velocity","velocity"
"versus","versus"
"via","via"
"vilaine","vilaine"
"virgin","virgin"
"virus","virus"
"viscosity","viscosity"
"vitamin","vitamin"
"vocal","vocal"
"voice","voice"
"voices","voices"
"voids","voids"
"volcanic","volcanic"
"volcanoes","volcanoes"
"volume","volume"
"volunteers","volunteers"
"waiting","waiting"
"warp","warp"
"water","water"
"way","way"
"wearing","wearing"
"weaving","weaving"
"weeks","weeks"
"weight","weight"
"weights","weights"
"western","western"
"wettest","wettest"
"wholemeal","wholemeal"
"width","width"
"windows","windows"
"wisconsin","wisconsin"
"wolf","wolf"
"wolfsunspotnumbers","wolfsunspotnumbers"
"women","women"
"word","word"
"words","words"
"worldwide","worldwide"
"yarn","yarn"
"year","year"
"yearly","yearly"
"years","years"
"yellowstone","yellowstone"
"yield","yield"
"yields","yields"
"yonkers","yonkers"
"york","york"
"young","young"
"zero","zero"
